title,price,description,link
Minimalist WhatsApp Sticker Designer Needed,$10-30 USD,"I'm looking for a talented graphic designer to create a series of stickers for WhatsApp. Your experience in the field is crucial to this project, so please provide me with a summary of your work in your application. 

Key project details:
- I require more than 10 stickers, so please be prepared to take on a slightly larger project.
- The stickers should be appropriate for WhatsApp in size and style, and will contain worfs in Hebrew fonts.

Please let me know if you have worked on similar projects before, and ideally provide a portfolio of your work, particularly in this style. I'm looking forward to seeing your applications and working with one of you soon.",https://www.freelancer.co.id/projects/graphic-design/minimalist-whatsapp-sticker-designer
Full-service Digital Marketing Agency Needed,$30-250 USD,"I'm in search of a digital marketing expert to handle the entire suite of ad creation, targeting and campaign management for my business. The ideal candidate will have experience and expertise in advertising on Facebook, Instagram, Google, Snapchat, TikTok and YouTube. 

Key responsibilities include:
- Designing visually appealing ads that align with our brand
- Strategically targeting relevant audiences to maximize conversions
- Managing and optimizing ad campaigns to ensure a high ROI
- Creating engaging content for all platforms to maintain an active and responsive audience

The ideal freelancer should have a proven track record of success in managing multi-platform social media campaigns, and be fluent with the latest digital marketing tools and best practices. Experience across these social media platforms is essential.",https://www.freelancer.co.id/projects/facebook-marketing/full-service-digital-marketing-agency
Monthly Social Media Graphic Design,$250-750 USD,"I'm in need of a talented graphic designer to assist with monthly social media content creation.

Key Responsibilities:
- Design engaging and creative graphics for social media platforms.

The ideal candidate should have:
- Experience in creating social media content.
- Strong graphic design skills.
- Ability to deliver fresh and innovative designs every month. 

This is an ongoing job which will require a new set of designs every month.",https://www.freelancer.co.id/projects/graphic-design/monthly-social-media-graphic-design
Web-App based Spin Wheel Design,₹1500-12500 INR,"I'm looking for a skilled developer to create a web app based spin wheel that can spot randomly on 10 different segments. 

Requirements:
- The spin wheel should have 10 segments which can be used for various purposes.
- The design should be suitable for web apps.

Please include your past experience in similar projects in your application. Thank you.",https://www.freelancer.co.id/projects/website-design/web-based-spin-wheel-design
Logo-Based Lanyard Design ASAP,₹600-1500 INR,"Looking for an exceptional CorelDraw designer who specializes in logo-based design. Your task is to create a lanyard design featuring our company name. Given the urgency of this project, I'll need someone who can deliver quickly while maintaining exceptional quality. 

Ideal Skills include:
- Proficiency in CorelDraw
- Experience in logo design
- Ability to work under tight deadlines",https://www.freelancer.co.id/projects/graphic-design/logo-based-lanyard-design-asap
Zoho E-commerce Site Development,₹1500-12500 INR,"I'm seeking an experienced web developer to establish a Zoho e-commerce website for my business. 

Key tasks include:

- Designing and developing the website from scratch, as I require assistance with the design aspect. A sense of creativity and an eye for modern, user-friendly design would be ideal.
  
- Integrate Razorpay as my platform for all payment transactions. Past experience with this platform will be a plus.

The ideal candidate should have proven experience in e-commerce website development, especially on the Zoho platform, and familiarity with Razorpay payment integration. Excellent communication is essential for translating my vision into a functional and visually-appealing site.",https://www.freelancer.co.id/projects/website-design/zoho-commerce-site-development
Professional UI/UX Design for Informational Site,$30-250 USD,"create new design of the a website

website specifications 
1. Home Page:
Introduction: A brief overview of Beam, its mission, and values.
Featured Content: Highlight key services or products offered by Beam.
Call to Action: Encourage visitors to explore further or contact the company for more information.
Latest Blog Posts: Display a preview of the latest blog posts to encourage visitors to explore the blog section.
2. Services Pages:
Overview: Provide detailed information about each of the 6 services offered by Beam ( every service will have it’s own page )
Features: Highlight the key features and benefits of each service.
Call to Action: Encourage visitors to inquire or request a quote for the services.
3. Contact Page:
Contact Information: Display the company's address, phone number, and email address.
Contact Form: Include a contact form for visitors to submit inquiries directly from the website.
Google Map Integration: Embed a Google Map to show the company's location.
Social Media Links: Provide links to the company's social media profiles for additional communication channels.
Also:
Newsletter Signup: Allow visitors to subscribe to the company's newsletter for updates and announcements.
Resource Library: Create a section for downloadable resources such as whitepapers, ebooks, or guides.
Events Calendar: Display upcoming events or webinars hosted by the company.
Multilingual Support: Implement multilingual support for visitors who speak different languages.

current website to get an idea: [login to view URL]",https://www.freelancer.co.id/projects/website-design/professional-design-for-informational
Full Stack Developer for EdTech Blog,₹1500-12500 INR,"I'm in need of an experienced full stack developer to assist in creating an engaging and user-friendly EdTech Blogging Website. 

Key Features:
- User Registration and Login: Provide a simple, user-friendly registration and login system.
- Blog Posting and Comments: Ensure visitors can easily post their blogs and comment on existing ones.
- Search Functionality: Implement a search bar for users to easily navigate through the content.

Target Audience:
The primary audience for the website is students and teachers, so the design and functionality should be tailored towards their needs.

Content:
The website will mainly host educational materials such as articles, lesson plans, and nursing course blogs. 

Ideal Skills and Experience:
- Proven experience in full stack development, particularly with user registration and login systems, blogs, and search functionality.
- Familiarity with educational websites and understanding of the needs of students and teachers.
- Prior experience developing nursing-related content is a plus, but not required. 
- Strong communication skills and the ability to work collaboratively with a client.",https://www.freelancer.co.id/projects/php/full-stack-developer-for-edtech
SaaS WordPress Development,₹12500-37500 INR,"I am in need of a proficient WordPress developer who can help with the development of my SaaS website. While the website needs to be relatively simple, it is vital that the developer is experienced in:
- WordPress website development
- Website maintenance

The type of website to be developed is for a Software as a Service (SaaS) company. The developer would ideally possess experience in building SaaS websites, or similar.


Experience with these particular features is a significant advantage. I am focusing on not just the function, but also the user experience. Hence, a candidate with great attention to detail and a good sense of web design would be ideal.",https://www.freelancer.co.id/projects/php/saas-wordpress-development
3D Animation Public Interest Video,₹1500-12500 INR,"I'm looking for an expert 3D animator to create an educational content video. Your application should include a portfolio of your past work, particularly focusing on similar projects.

Key Requirements:
- Expertise in 3D Animation: You should have a strong background in creating high-quality 3D animation content.
- Educational Content Experience: Experience in creating educational content is a big plus.
- Attention to Detail: The video should be engaging, informative, and tailored to a specific target audience.",https://www.freelancer.co.id/projects/animation/animation-public-interest-video
Islamic Wedding Invitation Design,₹400-750 INR / hour,"I'm seeking a talented graphic designer to create a 3D wedding invitation card. 
The ideal candidate should be well-versed in Islamic art and culture, and have experience in creating wedding stationery. 

Key Design Elements:
- Utilize Arabic calligraphy to depict the names of the couple and other text on the card. 
- Include a subtle, but beautifully designed mosque silhouette. 
- The design should be refined and align with the traditional, yet modern, style that Islamic art is known for. 
- The color scheme should be predominantly gold and white, with the potential for additional colors if needed.

Ideal Skills and Experience:
- Proficiency in graphic design software (e.g. Adobe Photoshop, Illustrator).
- Previous experience designing wedding invitations or stationery.
- Familiarity with Islamic art and culture, particularly in the context of wedding stationery.
- Strong portfolio showcasing similar design projects.
- Excellent understanding of color theory and design aesthetics. 

If you're passionate about creating timeless, culturally sensitive designs, I'd love to hear from you. Please share your portfolio of relevant work with your bid.

I want it similar to the attached video but without the caricatures",https://www.freelancer.co.id/projects/graphic-design/islamic-wedding-invitation-design-38210703
Custom Birthday Card - Airport Theme,£10-20 GBP,"I'm looking for a talented illustrator to design a unique, personalized birthday card for a friend. The chosen freelancer should have experience in creating detailed and engaging scene illustrations. The project specifics are:

* Theme: My friend who is a Samaritan… she has a vision of having a stand at an airport, drawn in an airport scene
* Essential Elements: The scene should prominently feature check-in counters, capturing the hustle and bustle vibe of an airport
  
Ideal skills: 

- Exceptional illustration skills 
- Creativity, ability to incorporate personal elements into a design 
- Experience creating themed or personalized greeting cards

This job will require a keen eye for detail and a knack for creative illustrations. Prior work samples are appreciated. I look forward to seeing your bids.",https://www.freelancer.co.id/projects/illustration/custom-birthday-card-airport-theme
E-commerce Website - Front-End Dev,₹100-400 INR / hour,"I'm in need of a skilled front-end developer to create a custom HTML/CSS/JS e-commerce website from scratch. The primary action I want users to take is subscribing to a newsletter.

Key Responsibilities:
- Develop a visually appealing e-commerce website
- Implement custom HTML/CSS/JS
- Ensure the website is optimized for user experience
- Create a seamless subscription process for users

Ideal Skills/Experience:
- Strong front-end development knowledge
- Prior experience in e-commerce website design
- Proficient in custom HTML/CSS/JS
- Familiarity with optimizing user experience
- Experience in implementing newsletter subscription processes

Please ensure to include your portfolio and specific experience with e-commerce websites when applying. Looking forward to working with a talented and professional freelancer on this project.",https://www.freelancer.co.id/projects/css/commerce-website-front-end-dev
Create 5 Product Pages in WordPress Using BE Theme Page Builder -- 2,$30-250 USD,"We are seeking a freelancer to create 5 product pages in WordPress using the BE theme page builder, specifically the BeDetailing theme. These pages will serve as the initial setup for our website, with potential for an ongoing business relationship where you will handle all future web design tasks. Each product page must be visually appealing, easy to navigate, and consistent with the color tone of the provided image (see attachment). The primary focus is on creating a graphic layout that aligns with our brand’s aesthetics. After we approve the layout, you will implement it in WordPress.

Task Requirements:

Graphic Layout Design:
Create a graphic layout for each of the 5 product pages.
Ensure the design is visually appealing and consistent with the provided color tone.
Focus on user-friendly navigation and clear presentation of product information.
Note: These are product information pages only, so they will not have many complicated features or functions but need to show a lot of product images (20-50 per page).

Approval Process:
Submit the graphic layout for review in a format suitable for easy review (PDF, PNG, or any other image format).
Provide PSD files for each layout, ensuring they are suitable for editing later.
Make any necessary revisions based on feedback until approval is obtained.

WordPress Implementation:
Implement the approved graphic layout in WordPress using the BE theme page builder.
Ensure all elements are editable, allowing us to update content and images easily in the future.
Add the product pages to the portfolio category in WordPress.

Content and Images:
We will provide the content and images for each product page.
Ensure that all provided content is accurately and attractively displayed on the pages.

Consistency:
Maintain a consistent design and color scheme across all 5 product pages.
Align with the color tone as depicted in the provided image attachment.

Deliverables:
Initial Graphic Layouts:
Graphic layouts for 5 product pages in a format suitable for review (PDF, PNG, or any other image format).
Provide PSD files for each layout, ensuring they are suitable for editing later.

Final WordPress Pages:
Fully functional and editable product pages in WordPress using the BE theme page builder.
Product pages added to the portfolio category in WordPress.

Skills Required:
Proficiency in WordPress and BE theme page builder.
Strong graphic design skills.
Ability to create user-friendly and visually appealing layouts.
Attention to detail and consistency.

How to Apply:
Please provide examples of previous work with WordPress, specifically using the BE theme page builder. Include any relevant graphic design samples that showcase your ability to create visually appealing product pages.",https://www.freelancer.co.id/projects/website-design/create-product-pages-wordpress-using-38210646
Real Estate Company Website Development,₹75000-150000 INR,"I'm looking for a skilled web developer to design and develop a modern and minimalistic website for my real estate company. The website will serve as a primary platform for showcasing our available properties, company information, and project portfolio.

Key Features:
- Property Listings: The website should have an easy-to-use interface where I can showcase various properties including villas, apartments, and layouts.
- Company Overview: A section dedicated to 'About Us' that conveys our mission, values, and team.
- Services: A detailed listing of services we provide.
- Testimonials: A space for client testimonials to build credibility.
- Contact Us: A simple and effective contact form for potential clients to reach out.
- Ongoing, Upcoming, and Completed Projects: Sections to showcase our current, future, and past projects respectively.

Ideal Web Developer:
- Experienced in real estate website development.
- Proficient in modern and minimalistic design.
- Skilled in creating user-friendly interfaces.
- Familiar with showcasing property listings.
- Capable of integrating a contact form and testimonial section.",https://www.freelancer.co.id/projects/website-design/real-estate-company-website-development
Modern Wordpress E-commerce Website Development,$750-1500 USD,"I'm looking for a skilled developer who can build an engaging Wordpress website that communicates a modern aesthetic. I require a site that is business-oriented and combines E-commerce capabilities with membership registration and login functionalities. Your role will include:

- Designing a visually compelling, modern-styled website
- Incorporating E-commerce capabilities to enable online transactions
- Building a robust membership system for registration and login

Your ideal skills and experience for this task would include:

- Extensive experience in Wordpress website development
- Proven track record designing visually appealing E-commerce websites
- Familiarity with modern design aesthetics
- Strong knowledge of membership systems
- Experience targeting business demographics

Your bid should reflect your capability to deliver on these requirements.",https://www.freelancer.co.id/projects/website-design/modern-wordpress-commerce-website
Business PowerPoint Presentation with Graphics,$250-750 AUD,"I need a professional PowerPoint presentation using based on the attached Report. The focus is on quality design and using relevant graphics to enhance the content. 

Key Requirements:
- Topic: Business
- Length: 10-13slides
- Visual Elements: Incorporate charts and graphs that are relevant, and any images or icons that are relevant

Ideal Skills and Experience:
- Excellent Design Sense: The ability to create a visually appealing and professional PowerPoint presentation
- Business Understanding: Familiarity with business-related content is a plus
- Graphic Design: Proficiency in using appropriate images, icons, charts, and graphs to support and enhance the content is essential
- Attention to Detail: Ability to meticulously follow the provided instructions 
- Time Management: Meeting the deadline is crucial. 
- I have attached my employers PowerPoint Presentation Template, which contains instructions on how to use it for presentations - please use this, as it needs to be branded University of Melbourne.

Please let me know your experience with similar projects, your approach to creating such presentations, and a rough estimate of the time required for completion.",https://www.freelancer.co.id/projects/brochure-design/business-powerpoint-presentation-with
E-commerce website Designer -- 2,₹1500-12500 INR,I am looking for a skillful web developer to design a good e-commerce website for the purpose of dropshipping.,https://www.freelancer.co.id/projects/website-design/commerce-website-designer-38210615
360 Virtual Tour Creation from Images,$30-250 AUD,"I have a series of images taken from an Insta 360 camera inside a house, and I want these to be transformed into a 360 tour accessible both via a website and mobile app.

Key Requirements:
- Create a 360 virtual tour with 6-10 different rooms/spaces.
- Ensure that the tour can be accessed across both website and mobile app platforms.

Ideal Skills and Experience:
- Extensive experience in creating 360 virtual tours.
- Proficiency in working with images from Insta 360 or similar cameras.
- Ability to optimize the tour for both web and mobile platforms.
- A good eye for design and layout to ensure a seamless user experience.
- Excellent communication skills to understand my needs and provide regular updates.",https://www.freelancer.co.id/projects/website-design/virtual-tour-creation-from-images
Engaging Banner Design,₹600-1500 INR,"I'm in need of a talented graphic designer to create an impressive banner for my online presence. The design should creatively integrate the colors yellow, black, and white which I've specifically chosen. Unfortunately, I have not opted for a certain dimension, so your design submission should be adaptable to any size. 

Key Points: 

- Mastery in graphic design particularly banners creation
- Excellent understanding of color theory 
- Ability to generate designs adaptable to various dimensions 
- Proficiency in using graphic design software

Prepare to showcase a portfolio that demonstrates your creativity and adaptability in banner design. Prior experience with similar projects would be a plus. Please place a bid only if you are ready to commit and deliver a quality project on time.",https://www.freelancer.co.id/projects/graphic-design/engaging-banner-design
Motion Graphics Pro for Adobe Premiere,₹1500-12500 INR,"I'm in need of a creative professional who is highly skilled in Adobe Premiere Pro and specializes in integrating motion graphics into video footage. Your task will revolve around creating specific motion graphics that are in line with an existing graphic design. 

Key responsibilities:
- Design and create engaging motion graphics in Adobe Premiere Pro
- Ensure the motion graphics align perfectly with the provided specific graphic design guide

Ideal skills and experience:
- Proficient in Adobe Premiere Pro
- Excellent skills in motion graphics design and editing
- Attention to detail 
- Ability to follow specific design guides. 

All relevant materials, including the specific graphic design, will be provided. I look forward to working with an enthusiastic and talented freelancer.",https://www.freelancer.co.id/projects/motion-graphics/motion-graphics-pro-for-adobe
Photo Distraction Removal and Editing,$30-250 USD,"I have a medium-resolution photo where people act as distractions and need them taken out. The main goal here is not just removal but also skillful manipulation of the background to maintain visual coherency. 

Key tasks include:
- Carefully removing people from the image 
- Ensuring the background remains consistent post-edit where the person was

The ideal freelancer for this job will be experienced in photo editing and manipulation, with the ability to work with medium-resolution images. A solid understanding of creating and maintaining consistent background environments within an image is essential. Be prepared to showcase previous projects that exhibit these skills prior to bid consideration.",https://www.freelancer.co.id/projects/photoshop/photo-distraction-removal-editing
Astrology Consultation & Jewelry eCommerce Site,₹750-1250 INR / hour,"I require a professionally crafted website that offers astrology consultation services and also doubles as an online store for my astrological jewelry line. 

Key Website Features:
- Astrology Consultation: This feature should enable live interaction with clients for astrological guidance.
- Product Sales: The website will also function as a eCommerce platform for selling my astrological jewelry. 

Ideal freelancer should have:
- Experience in creating similar websites or proficiency in eCommerce website development.
- Good understanding or interest in astrology would be a plus, but not necessary. 
- Must be able to integrate live chat feature for consultations.
- Strong ability in website security to ensure safe online transactions.

Overall, I am looking for a seamless and modern website that encapsulates the world of astrology while functioning effectively for consultations and jewelry sales.",https://www.freelancer.co.id/projects/website-design/astrology-consultation-jewelry-ecommerce
Nature Inspired T-Shirt Graphic Design,$250-750 USD,"I'm in need of a creative graphic designer who can craft a unique and captivating graphic design for a t-shirt. The design should be inspired by nature and should be appealing to people of different ages. 

Key deliverables:
- Nature-themed graphic design suitable for a t-shirt 
- Design that is catchy and stands out 

Ideal Skills:
- Graphic Design
- Creativity and Imagination
- Understanding of designing for apparel
- Natural design inspiration",https://www.freelancer.co.id/projects/graphic-design/nature-inspired-shirt-graphic-design
Design a Website on Wordpress,$12-50 SGD,"Looking for a skilled web designer to create a website for me using Wordpress
The task involves imitating and modifying a competitor's website template to fit our brand and requirements


Key Requirements (Please read before applying)
Platform: WordPress
Template: Copy a competitor's website template (will send you the link privately)
Customization: Edit Wordpress to be similar to competitor's website to reflect our branding and services


How to apply: (Proposals that do not follow this will be rejected)
Submit your proposal with 
1) Number of years of experience with Wordpress 
2) Past websites created using Wordpress 
3) Estimated Timeline and Cost",https://www.freelancer.co.id/projects/php/design-website-wordpress-38210456
Viral Image Creation for Social Media,$10-30 CAD,"I need a skilled graphics designer who can create engaging and shareable images for social media. These images will primarily be used as banners and hopefully go viral. It may be related with motivation and real estate. 

Key Requirements:
- **Design Skills**: You should have a strong portfolio of previous designs, especially those that have performed well on social media. 
- **Understanding of the Platform**: You should have a good understanding of different social media platforms, their audiences, and the type of images that perform best on each.

I'm open to suggestions and would appreciate a designer who can bring creative ideas to the table.",https://www.freelancer.co.id/projects/graphic-design/viral-image-creation-for-social
Hybrid Eiffel Sketch for Business Poster,$10-30 AUD,"Seeking a creative illustrator who has the ability to combine realism and cartoon-style in rendering an Eiffel Tower drawing for our business poster. The project entails:

- Designing the Eiffel Tower in a sketched blue style, blending both realistic and cartoon aspects.
- Positioning the tower at an angle since it won't be the sole focus of the poster, but rather sharing equal importance with other elements.
- Incorporating our business logo and branding seamlessly into the visuals.

Ideal Experience and Skills:
- Proficiency in various drawing styles, specifically cartoonish and realistic.
- Expertise in blending graphic elements without overshadowing any.
- Vast experience in creating commercial art, particularly for business branding.
- Great knowledge in using colors effectively, specifically blue.

Your visionary input will unite these elements into a single, engaging poster that encapsulates the essence of our brand while featuring an iconic landmark.",https://www.freelancer.co.id/projects/graphic-design/hybrid-eiffel-sketch-for-business
Modern Vinyl Siding Home Exterior Redesign,$10-30 CAD,"I am seeking a talented and experienced home exterior designer for a siding update project. My aim is to transform the current facade of my home into a fresh, modern look. 

The key project task includes:
- Redesigning and installing modern-style vinyl siding. 

The ideal freelancer for this job should:
- Have extensive experience in home exterior design, particularly with vinyl & wood look material.
- Have a keen eye for modern architecture design.
- Be able to present a portfolio with relevant work samples.
- Be able to provide guidance on the best vinyl products for durability and style.
- Maintain clear and frequent communication throughout the project.

Ultimately, with your help, I aim to create a modern, appealing, and long-lasting exterior for my home.",https://www.freelancer.co.id/projects/interior-design/modern-vinyl-siding-home-exterior
Business Website Developer Needed,₹1500-12500 INR,"I am seeking an experienced WordPress developer to create a dynamic business website with specific functionalities. 

Key Features:
- Contact Form: An accessible form for potential clients to reach out and initiate communication.
- Portfolio Showcasing: A section dedicated to demonstrating past projects and achievements to build credibility.
- Service Booking: A streamlined booking system allowing clients to easily schedule appointments or services.
- Customer Work Progress: A unique feature where clients can track the progress of their requested tasks or services.

Business Objective:
The main goal of this website is lead generation. Therefore, it should be well-optimized to attract and convert potential clients.

Ideal Skills and Experience:
The successful freelancer should have a proven track record in WordPress development, particularly in creating business websites with similar functionality. An understanding of SEO principles and lead generation strategies is also crucial.",https://www.freelancer.co.id/projects/php/business-website-developer-needed
Construction Company Website Development,$30-250 USD,"I'm seeking a website developer to create a simple website for my construction company. The budget for this project is $150 USD. If you are interested in this opportunity, please message me. Thank you.

Ideal Skills and Experience:
- Proficiency in website development, particularly in creating visually appealing and user-friendly websites.
- Ability to incorporate specific features such as a project gallery.
- Experience in creating websites for construction or similar industries is a plus.

Key Project Details:
- The website will consist of a Home page, an About page, and a Services page. 
- The Home page should have information that provides an overview of the company.
- The Services page should include a project gallery.
- A clean, professional look and feel that aligns with the company's image is essential. 
- Timely completion and adherence to the specified budget are critical for this project. 

If you believe you have the necessary skills and experience for this project, please get in touch. Your interest is appreciated.",https://www.freelancer.co.id/projects/website-design/construction-company-website-development-38210387
Commercial GC T-Shirt Logo Design,$30-250 USD,"I'm looking for a talented graphic designer to create 2-3 T-shirt designs. we are a commercial general contracting construction company so you must understand the trade to be able to design something for a back of a t shirt

Ideal candidates should have:
- Proven experience in T-shirt design
- A strong understanding of construction trades 
- Skills in creating appealing, modern, and professional designs
- The ability to interpret and represent a company's branding through design

Given the importance of branding in our industry, I'm looking for someone who can create designs that are not only visually striking but also accurately reflect our company values.",https://www.freelancer.co.id/projects/graphic-design/commercial-shirt-logo-design
Landing page: Lead Generation for BYD,$250-750 SGD,"As a BYD car distributor in Singapore, I'm seeking a talented web developer with a proven track record in landing page design and lead generation. 

Key Requirements:
- The landing page's primary goal is to generate leads specifically targeted at car owners looking for replacements.
- An integral feature of the landing page will be a detailed comparison table, comparing BYD cars against competitors to inform potential customers of our competitive edge.
  
Ideal Skills and Experience:
- Strong HTML/CSS and JavaScript skills
- Prior experience designing lead-generating landing pages
- Familiarity with automotive industry is a plus but not necessary
- Ability to present complex data in an easy-to-understand format through the comparison table

Your task will be to create a clear and engaging layout that immediately communicates our unique selling propositions to our target audience whilst encouraging high conversion rates.",https://www.freelancer.co.id/projects/website-design/landing-page-lead-generation-for
