title,price,description,link
Swimming Pool Service Report App,$30-250 CAD,"I require a mobile app for our pool service technicians. 

- The app is meant for filling out reports on each pool visit. The reports will have existing client information and a list of products we sell
- The app should allow techs to:
   - Add info to the report
   - Add a picture
   - Send the report
- Required functionalities include:
   - Ability to take and upload photos
   - Offline access to reports
   - GPS location logging
- Techs should also be able to add notes to each report. 

Ideal skills for this project are:
- Mobile app development
- UI/UX design
- Experience with offline functionality
- GPS integration in apps
- Photo and note-taking functionality
- Experience with report customization in apps",https://www.freelancer.co.id/projects/android/swimming-pool-service-report-app
Comprehensive Hospital App Development,₹1500-12500 INR,"I'm looking for a skilled app developer who can create a user-friendly, all-encompassing hospital application. The project involves developing this app for both iOS and Android platforms and will require a detailed project proposal for consideration.

Key Features:
- Appointment Booking: The app should enable patients to schedule appointments with their doctors easily and efficiently.
- Patient Queries and General Enquiries: Users should be able to submit any medical queries or general enquiries through the app.
- Hospital Details: The app should provide detailed information about the hospital, including location, department details, and contact information. 

Ideal candidate for this project should have:
- Proven experience in developing comprehensive, user-friendly apps.
- Expertise in app development for both iOS and Android platforms.
- The ability to create a secure and efficient appointment booking system.
- Strong communication skills to understand and implement user queries and general enquiry features.
- Experience in integrating hospital-specific details and information into an app interface.

Please include a detailed project proposal in your bid to be considered for this opportunity. I look forward to reviewing your applications.",https://www.freelancer.co.id/projects/mobile-app-development/comprehensive-hospital-app-development
Modification to the Design of a Social Networking App,$250-750 USD,"I'm looking for an experienced mobile app development team that can create a social networking app that will have live streaming capabilities. 

Key features include:
- Social Networking: User profiles, friend lists, user interactions
- Live Streaming: A platform for users to broadcast live video
- Additional features common to social networking apps 

Ideal skills:
- Proficiency in both iOS and Android app development
- Extensive experience with social networking app development
- In-depth understanding of live streaming technology
- Strong UI/UX design skills
- Previous work on similar projects is a plus

I have two applications:

 Android and iOS. 
- The Android application is built using Java
- The iOS application is built using an older version of Objective-C. 
I am looking for a company to redesign the interfaces of both applications. 
Each application has at least 7 interfaces. I have the design I want in a Figma file.

Important note: I am particularly interested in the iOS application design more than the Android one. Any company that does not have experience in Objective-C should not contact us.

We have:

The control panel for the live streaming platform
All the API links you need
The old Android and iOS applications for the control panel
The new design file in Figma


We are looking for a company specialized in programming
The work period should be 1 month
The quality of the work should be high
Provide technical support for at least 3 months in case of issues",https://www.freelancer.co.id/projects/mobile-app-development/modification-the-design-social
iOS Mobile App for Dispatch Management,$1500-3000 AUD,"I'm seeking a skilled mobile app developer to create an iOS app that can scan QR codes, match and update records in a database, as well as upload data to the same database from Excel exports. The app must function fully offline. I have a PowerApps app with all the functionality I need, however it is not stable enough or able to be deployed to users easily. I will provide the PowerApps and all the details. I want to build a stand alone app, but based on the PowerApps one I have.

Key Requirements:
- Development of an iOS mobile app
- Ability to scan QR codes
- Record matching and updating in a database
- Data uploading from Excel exports
- Full offline functionality
-  SQL for the database is preferred

Ideal Skills:
- Proficiency in iOS app development
- Experience in working with databases
- Ability to implement QR code scanning
- Previous work with offline functionality
- Strong understanding of data management
- Knowledge of Excel data import

Your successful completion of this project will require you to have a strong background in iOS development, database management, and offline functionality. A sound understanding of data handling and QR code scanning will be necessary to meet the project requirements. I look forward to receiving your bids.",https://www.freelancer.co.id/projects/android/ios-mobile-app-for-dispatch
Dual Platform Social Networking App Creation,$750-1500 USD,"I'm looking for a mobile app development company with a proven track record in creating engaging and user-friendly social networking applications, for both iOS and Android platforms.

Key Project Requirements:
- I need a dual-platform (iOS and Android) social networking app developed from scratch.
- The app should be intuitive and user-friendly, encouraging high levels of user interaction.
- It should include all standard social networking features such as profiles, messaging, image and video sharing, and notifications.
- The app must be scalable and able to handle a potentially large user base.

Your Application:
To be considered, your application should demonstrate your experience in developing similar apps. Please provide relevant examples of your previous work that highlight your expertise in social networking app development.

Ideal Skills:
- Mobile App Development
- iOS & Android Development
- Social Networking App Development
- User Interface Design
- Scalability Planning
- Strong Communication Skills
- Ability to Meet Timelines and Budgets

We have:

The control panel for the live streaming platform
All the API links you need
The old Android and iOS applications for the control panel
The new design file in Figma",https://www.freelancer.co.id/projects/iphone-app-development/dual-platform-social-networking-app
IT Specialist & Team Leader,$500-700 USD,"I'm looking for a skilled IT consultant to manage our network security, system administration, cloud computing, and more. You'll wear multiple hats in this role: IT support specialist and team leader. Let me break down the main responsibilities for you:

- **Network Security**: Your focus will include regular vulnerability assessments, firewall configuration, and intrusion detection.
- **System Administration & Cloud Computing**: You'll be responsible for keeping our systems running smoothly and efficiently.
- **IoT, Software, GPS, VoIP**: You should be comfortable with various technologies, including IoT, software, GPS, and VoIP.
- **IT Issue Support**: You'll be the go-to person for all IT-related issues. This involves troubleshooting, ticket management, and escalation management.
- **Team Leadership**: You'll also be leading a small team of IT professionals, ensuring they are well-coordinated and working efficiently.

The ideal candidate should have:
- Proven experience in network security, system administration, cloud computing, IoT, software, GPS, and VoIP.
- Strong troubleshooting skills and familiarity with ticket and escalation management.
- Previous experience in a team leadership role.
- Excellent communication skills and ability to work well under pressure.
- Relevant certifications would be a plus. 

Please include any relevant experience or certifications in your bid.",https://www.freelancer.co.id/projects/network-administration/specialist-team-leader
Advanced Android Application Development,€30-250 EUR,"I am in need of an experienced Android application developer. The ideal freelancer would possess the following skills and experience:

- Proficient in Kotlin
- Experience with in-app purchases
- Familiarity with integrating video recording and audio editing features

The primary function of this application is to serve as a tool. Therefore, a candidate with a keen understanding of user-centered design and previous experience in utility-based applications will be preferred. 

To reiterate, the application must include:

- An in-app purchase system
- Video recording functionality
- Audio editing tools 

Strong experience with Kotlin is essential as it is the preferred programming language for this project. Freelancers should have a strong portfolio showcasing their past work on similar projects. Experience with tool-based application development will be highly valued.",https://www.freelancer.co.id/projects/android/advanced-android-application-development
Android Productivity App with User Authentication,$30-250 USD,"I'm seeking a skilled Android developer to create a productivity app that requires user authentication. 

Key Requirements:
- Android Platform: The app should be specifically developed for Android
- User Authentication: Incorporate a robust and secure user login functionality

The app must be designed with a user-friendly interface and should primarily focus on enhancing productivity. 

Ideal Skills:
- Proficient in Java and Android Studio
- Experience with user authentication implementation
- Prior work on productivity apps is a plus

Need Save the user and password 
And can change when",https://www.freelancer.co.id/projects/android/android-productivity-app-with-user
Android Fleet Management App Development,$30-250 USD,"I'm looking for someone to help me build a mobile app for our fleet management company. The app will largely focus on HOS and DVIR tracking which are crucial aspects of our operations.

Key Features:
- HOS Tracking: The app should be able to log and monitor the hours of service for our drivers in real time. This feature is vital for ensuring that our operations are compliant with regulations.
- DVIR Recording: The app should facilitate and record the driver's vehicle inspection reports. This will help us maintain our fleet and keep our drivers safe.

Specifications:
- The app will be built exclusively for the Android platform. Make sure you're comfortable with Android app development and have a good understanding of its latest features and capabilities.
- A clean and user-friendly design would be a huge plus. Although I haven't specified any design requirements, a simple and intuitive design would be ideal for our drivers.

Ideal Skills:
- Proficiency in Android app development
- Experience with fleet management or similar app development
- Familiarity with HOS and DVIR regulations
- Strong UI/UX design skills",https://www.freelancer.co.id/projects/android/android-fleet-management-app-development
Next.js Frontend Developer Needed - 10/06/2024 21:27 EDT,₹600-1500 INR,"I'm looking for an experienced [login to view URL] developer to enhance the user interface design of my website.

Requirements:
- Frontend Development: You'll be focusing on enhancing and polishing the user interface of the site, ensuring it's both aesthetically pleasing and highly functional.
- User Interface Design: Your main goal will be to improve the user interface design. You should have a keen eye for design and a strong understanding of UX principles.
- Responsive Design: The design improvements should be optimized for both desktop and mobile platforms. This involves ensuring the site is easily navigable and aesthetically pleasing, regardless of the device it's viewed on.

Ideal Skills:
- Strong [login to view URL] experience
- Proven track record in frontend development
- UI/UX design expertise
- Responsive design experience, particularly for desktop and mobile
- Good understanding of user behavior and interaction on different devices

Attached a image below. I need a nextjs project exactly like that.

If you are passionate about creating beautiful, user-friendly websites and have the necessary skills and experience, I'd love to hear from you. Please provide examples of your previous work in your proposal.",https://www.freelancer.co.id/projects/css/next-frontend-developer-needed-edt
Android Firmware Upgrade,$30-250 USD,"I need a skilled Android developer to elevate my tablet's firmware. The major enhancements required are in the performance optimization and security features. 

Security and Performance:
- Implementation of efficient memory management and optimization strategies. 
- Enrichment of firmware with the most modern security features. 

Ideal freelancer would have:
- Proven experience in Android firmware upgrades, particularly for tablets. 
- Solid knowledge of memory management and optimization. 
- Track record of enhancing security in Android firmware. 

In conclusion, the objective is to deliver a more robust and efficient tablet experience for users.",https://www.freelancer.co.id/projects/android/android-firmware-upgrade
Android Developer for Real-time Notifications,$40-50 AUD,"I'm looking for an Android Developer who is skilled in Java and understand back-end development on Windows Server and has experience setting up my Play Dev Console Real-time Notifications.

Key requirements and tasks:
- Implementing real-time developer notifications, specifically to monitor app purchases.

I have already established a server for my back-end, so your expertise will be needed in the Play Console setup and real-time notification implementation.

a) 
Explain to me what needs to be done to set up Real-time Notifications for App Purchase tracking and Token retrieval. 
b)
Explain and assist with a simple app to receive Play Store notifications of app purchase. I will do the rest from there.",https://www.freelancer.co.id/projects/android/android-developer-for-real-time-38210030
In-Car Communication Specialist,$1500-3000 AUD,"I'm seeking an experienced professional with a strong background in in-car communication systems. 

Key project requirements:

- Expertise in radio-based vehicle communication.
- In-depth understanding of automotive CAN bus, V2V and V2I communication.
- Capability to design an in-car system that supports mobile calling functionality.

This project demands a professional with significant experience in vehicle communication, software development, and systems integration. Familiarity with current GPS navigation systems, Bluetooth connectivity, music streaming, and mobile functionality is valuable. This is an exciting opportunity to apply your skills in a cutting-edge area of automotive technology. Commitment to the highest standards of design, safety, and quality is essential.",https://www.freelancer.co.id/projects/electrical-engineering/car-communication-specialist
Travel App Development for iOS and Android,$1500-3000 USD,"I'm looking for a skilled app developer to create a travel application for both iOS and Android platforms. The application's main features would include user content uploading and rating.

I'd like content created in the app indexed and searchable by specific filters that are created by either tags in the posts, dates in the posts, or locations in the posts. 

Key Features:
- User Content Upload: The app should allow users to upload various types of content including photos, videos, and reviews. These uploaded contents should be accessible and viewable by all users of the app.
  
- User Rating System: I'd like the app to have a user rating system where users can rate the uploaded content. This system should be secure and fair to all users, ensuring accurate ratings.
  
Compatibility:
The app should be compatible with all iOS devices (iPhone and iPad) and all Android devices. This would ensure a wider reach and user base for the app.

Ideal Skills and Experience:
- Proficiency in iOS and Android app development
- Strong knowledge and experience in building apps with user-generated content
- Experience in developing apps with user rating systems
- Previous success in creating apps compatible with a wide range of devices, especially iOS and Android
- Understanding of travel app features and user behavior in this niche would be a huge plus.",https://www.freelancer.co.id/projects/iphone-app-development/travel-app-development-for-ios-38209806
Existing app on CodeCanyon,$30-250 USD,"Hello Everyone,

I'm looking to build an interactive dating app for dogs/puppies where puppies can meet/connect with other puppies by modifying an already existing app on CodeCanyon
Users should be able to send messages to each other.
I plan on charging a subscription fee for users to have access to the app.
The developer I select will be responsible for publishing the app on the Android and IOS store

PS: I plan to modify this app to suit my needs: [login to view URL]
If you have any other app you believe I can easily modify to suit my purpose feel free to recommend them to me.

Thank you",https://www.freelancer.co.id/projects/android/existing-app-codecanyon
Cross-Platform Productivity Mobile App,$10-30 USD,"I'm looking for a skilled mobile app developer who can create a productivity app for both iOS and Android. The main focus of this app will be task management, so experience with similar applications is preferred. The app will need to be intuitive, user-friendly, and reliable for daily use. 

Key features that are necessary for the app include:
- Task management systems: The main purpose of this app is to help users organize and track tasks effectively. A good understanding of task management techniques and UI/UX design is a must.
- Cross-platform compatibility: The app should function seamlessly on both iOS and Android devices. Experience with cross-platform development tools like React Native or Flutter is a plus.

If you have experience in developing productivity apps and can create a smooth, reliable, and user-friendly interface, I'd like to hear from you.",https://www.freelancer.co.id/projects/mobile-app-development/cross-platform-productivity-mobile-app
Mobile App Development for Food Management with Computer Vision,$3000-5000 USD,"I'm looking for a highly skilled AI and mobile app developer who can create a comprehensive food management app. This app will utilize computer vision to scan food items and provide users with valuable information such as expiration dates, nutritional content, and recipe suggestions. 

Key features of the app:
- User-friendly interface for scanning and managing food items
- Computer vision technology to recognize various food products
- Database integration for tracking expiration dates and providing nutritional information
- Recipe suggestion feature based on scanned and inputted food items
- Reminder system for upcoming expiration dates to reduce food waste
- Cross-platform compatibility for both iOS and Android devices

Ideal Candidate:
- Proven experience in AI, specifically computer vision, and mobile app development
- Portfolio showcasing previous work with similar technologies
- Strong understanding of database management and UI/UX design
- Ability to communicate complex AI concepts in simple terms
- Detail-oriented with a focus on delivering a high-quality user experience

The final product should help users easily manage their food inventory, promote healthy eating habits, and minimize waste. I'm looking forward to collaborating with an expert to bring this vision to life.",https://www.freelancer.co.id/projects/iphone-app-development/mobile-app-development-for-food-38209618
Interactive Vending Machine App & System Development,$750-1500 USD,"I'm in need of a comprehensive vending machine app and system that fully integrates with a mobile app, POS, and memberships CRM. 

Key Features for the Vending Machine App:
- Payment Processing: Users must be able to make payments effortlessly through the app.
- Inventory Tracking: A system that provides real-time updates on the vending machine's inventory.
- Remote Management: Allows the vending machine to be controlled remotely for maintenance and updates.
- User Authentication: Ensures a secure and personalized experience for each user.

Mobile App Integration:
- Ordering and Payment: Seamless integration with the vending machine app for quick and easy purchases.
- Rewards and Loyalty Program: Implement a rewards system to incentivize repeat purchases.
- Push Notifications: Send out relevant updates and promotions to keep users engaged.

POS System:
- Customer Management: The POS should have a robust customer management system that can help in retaining customers and building loyalty.

In addition, there's a need to customize the vending machine's features via an admin app. This is crucial for adapting the vending machine to various settings and target audiences.

The ideal candidate for this project should have:
- Proven experience in developing vending machine apps and systems.
- Strong knowledge of mobile app integration and POS systems.
- Background in CRM systems and database management.
- Ability to create user-friendly and visually appealing interfaces. 

Please share examples of similar projects you've completed. Your proposal should also include your approach to this project and a rough timeline for completion. Thank you.",https://www.freelancer.co.id/projects/php/interactive-vending-machine-app-system
nRF9160 IoT Device Development with Zephyr,€6-12 EUR / hour,"I am looking for a developer experienced in working with the nRF9160 platform for IoT communications. The project involves the development of a custom device that will interact with various sensors, including temperature, humidity, gas, dust, and battery monitoring. The device will be collecting sensor data and GPS location information.

Ideal Skills and Experience:
- Proficiency in nRF9160 platform
- Experience in developing IoT devices
- Understanding of sensor data analysis and interpretation
- Knowledge of Zephyr platform
- Understanding of communication protocols for IoT devices
- Previous experience with GPS integration on IoT devices

Please only bid if you have prior experience with nRF9160 and Zephyr.",https://www.freelancer.co.id/projects/bluetooth-low-energy/nrf-iot-device-development-with
Hybrid Radio App with Live-Stream & Schedule,$250-750 USD,"I'm seeking an experienced app developer to build a mobile app for a radio station. The app needs to be available on both iOS and Android platforms. 

Key features I'd like to see include:
- Live-Streaming Audio: The main function of this app will be live audio streaming of our radio station.
- Program Schedule: In addition to live-streaming, the app should also feature a program schedule. 

The design should follow a clean and minimalist style, ensuring easy navigation and a user-friendly interface. Ideally, the developer(s) will have previous experience with similar types of apps and will be able to provide examples of their work. Proficiency in hybrid app development and audio-streaming technology will be highly regarded.",https://www.freelancer.co.id/projects/mobile-app-development/hybrid-radio-app-with-live
Minecraft MMO Server Development,$750-1500 USD,"I am seeking a talented developer to create a Minecraft server that mirrors the gameplay of ""Cube World"" with added features and monitization potential. This will be a new venture for me, and my primary goal is to earn revenue through in-game purchases. 

Key Features:
1. Game Design: 
   - The server should offer an experience similar to ""Cube World"" MMO but within the Minecraft platform.
   - It should include a variety of engaging features such as pets, missions, custom enemies, and more.
   - The server should provide a unique blend of exploration, combat, and customization, to keep players engaged and excited.

2. Monetization Strategy: 
   - You will need to help me implement a strategy for generating revenue through in-game purchases. 
   - This could involve offering cosmetic items, boosts, or other premium content that players can buy.

3. Platform Accessibility: 
   - The server must be optimized for PC as its primary access point. 

Ideal Skills and Experience:
- Proven experience in developing and managing Minecraft servers, particularly those with MMO elements.
- Strong understanding of gameplay design, monetization strategies and player behavior.
- Familiarity with ""Cube World"" or similar games will be an added advantage.
- Excellent collaboration and communication skills to ensure we are on the same page throughout the development process.

If you are passionate about creating immersive gaming experiences, and have the technical know-how and strategic mindset to help me realize my goal of launching a successful MMO server, I'd love to hear from you.",https://www.freelancer.co.id/projects/game-development/minecraft-mmo-server-development
Cross-platform Smart App Banner Design,$10-30 USD,I'm looking for a professional app developer who can design a smart app banner that is compatible with both iOS and Android. The key requirement for this project is that the banner should prompt users to download the app.,https://www.freelancer.co.id/projects/graphic-design/cross-platform-smart-app-banner
ThingsBoard Dashboards Development,€250-750 EUR,"I'm looking for a skilled freelance developer to assist in the development and customization of dashboards and interface on the **ThingsBoard** platform for our IoT project. 

Key Project Details:
- **Dashboard Features:** I want to include real-time data visualization, customizable widgets and charts, and a user-friendly interface into the dashboards.
- **Project Goal:** The main aim of our IoT project is to monitor and analyze data. Therefore, the dashboards should be tailored to support this function.
- **Setting Alerts:** The main feature  is to set the Alerts and disabling Alerts

Key Requirements:
- **Experience with ThingsBoard:** Proficiency in working with the ThingsBoard platform is a must. Previous experience in building custom dashboards and interfaces on the platform is highly desirable.
- **Data Visualization:** Proficiency in real-time data visualization and the development of customizable widgets and charts.
- **User Management:** Understanding of customizable user roles and permissions for IoT platforms is a plus.",https://www.freelancer.co.id/projects/internet-of-things/thingsboard-dashboards-development
SIP Channel Setup for Panasonic KX-NS700,$250-750 CAD,"I'm looking for a skilled and experienced professional who can help me transition our existing 1-5 CO lines to a SIP Channel on our Panasonic KX-NS700 system. 

Key Responsibilities:
- Convert 1-5 CO lines to SIP Channel
- Ensure setup is seamless and does not disrupt existing operations
- Provide clear documentation on the setup process for future reference

Ideal Skills and Experience:
- Proven experience with Panasonic KX-NS700 systems
- Comprehensive knowledge of SIP channel setup
- Previous experience transitioning CO lines to SIP Channels
- Ability to work efficiently and minimize downtime
- Strong communication skills to provide clear documentation and support

Additional Information:
- The SIP provider for the channel setup will be pre-assigned by me, so you'll be working with a specific provider.
- Only the setup and testing of the SIP channel are required; no additional features like voicemail to email, auto-attendant, or call forwarding are needed at this time. 

Please bid on this project if you have the relevant expertise and experience needed. I'm looking for a professional who can get the job done smoothly and efficiently.",https://www.freelancer.co.id/projects/voip/sip-channel-setup-for-panasonic
Android OS Developer Wanted!,₹750-1250 INR / hour,"**Job Title: Android OS Developer**

**Description:**

We are seeking a skilled Android OS Developer with experience in modifying and customizing the Android operating system. The role involves working on custom solutions to ensure that despite modifications, devices maintain support for upgrading to subsequent Android versions. This position primarily focuses on installing the modified system on tablets and Raspberry Pi devices, adapting support for individual components and peripherals such as parking poles and ATMs.

**Responsibilities:**
- Modify and customize the Android operating system.
- Ensure compatibility with subsequent Android versions.
- Install modified Android OS on tablets and Raspberry Pi devices.
- Adapt support for individual components and peripherals (e.g., parking poles, ATMs).

**Requirements:**
- Proven experience in programming and modifying the Android operating system.
- Strong understanding of Android system architecture and kernel.
- Experience with custom ROM development and Android builds.
- Familiarity with hardware integration and peripheral support.
- Problem-solving skills and attention to detail.

**Preferred Skills:**
- Experience with Raspberry Pi and tablet hardware.
- Knowledge of peripheral device integration.

If you have the expertise to push the boundaries of Android OS customization, apply now and join our team of innovators.",https://www.freelancer.co.id/projects/android/android-developer-wanted-38209373
Gambling Game Featuring Diverse Casino Options,$5000-10000 USD,"I'm looking for a skilled game developer to create a comprehensive gambling game that caters specifically to gamblers. The game should offer a variety of traditional and modern casino experiences to keep players engaged and entertained.

Key Features:
- Slot Machines: Classic and engaging slot machine experiences.
- Fish Shooting Game: A unique and interactive fish shooting game.
- Blackjack: A well-executed and challenging blackjack setup.
- Keno: A user-friendly and rewarding keno game interface.
- Poker: A dynamic and engaging poker experience within the game.
- Bingo Bet: A fun and competitive bingo betting system integrated into the game.

Target Audience:
- The game is designed for gamblers only, so it should embody the allure and excitement of real-life casino experiences.

Art Style:
- The game should be designed in a realistic art style. This will appeal to players looking for an authentic and immersive gambling experience.

Ideal Skills and Experience:
- Strong background in game development, particularly in the realm of gambling games.
- Proficiency in creating diverse and engaging casino experiences.
- Experience with creating realistic art styles in games.
- Understanding of the unique demands of a game targeted specifically at gamblers.",https://www.freelancer.co.id/projects/game-development/gambling-game-featuring-diverse-casino
Experienced Webmaster Required for Front-End Dev,€18-36 EUR / hour,"I'm in need of an experienced webmaster to take charge of the front-end development on my project. I have a clear vision for the back-end, and I'm looking for someone to help me select and work in the most suitable framework - Angular, Vue.js, Svelte, or others - and to implement it effectively in line with these requirements:

- Develop a user-friendly interface with responsive design
- Fast page loading is a must
- Implement user registration and login
- Build a Content Management System (CMS)
- Implement search functionality
- Proficiency in adding and manipulating widgets is a big plus

Once the framework is selected and the aforementioned features are in place, an external designer will be brought in for further development.

Ideal candidates for this job should have a strong background in front-end development, an eye for design, and proficiency in the latest technologies and frameworks. Experience in implementing the above-mentioned functionalities and working with additional designers is also a plus.",https://www.freelancer.co.id/projects/angular-js/experienced-webmaster-required-for-front
